inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,1,[],James Shields,0,2,0,Charlie Blackmon,['N/A'],['N/A'],['N/A'],Home Run,N/A,0,1,1,N/A,N/A
1,top,0,[],James Shields,0,1,2,Corey Dickerson,['Corey Dickerson'],['N/A'],['N/A'],Single,N/A,0,1,N/A,N/A,N/A
1,top,0,[],James Shields,1,0,3,Nolan Arenado,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,1,N/A,N/A,N/A
1,top,0,[],James Shields,2,0,3,Carlos Gonzalez,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,1,N/A,N/A,N/A
1,top,0,[],James Shields,3,2,3,Michael McKenry,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,1,N/A,N/A,N/A
1,bottom,0,[],Kyle Kendrick,1,3,1,Wil Myers,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,1,N/A,N/A,N/A
1,bottom,0,[],Kyle Kendrick,2,2,2,Cory Spangenberg,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,1,N/A,N/A,N/A
1,bottom,0,[],Kyle Kendrick,2,0,0,Matt Kemp,['Matt Kemp'],['N/A'],['N/A'],Hit By Pitch,N/A,0,1,N/A,N/A,N/A
1,bottom,2,['Matt Kemp'],Kyle Kendrick,2,0,0,Justin Upton,['N/A'],['N/A'],['N/A'],Home Run,N/A,2,1,2,N/A,N/A
1,bottom,0,[],Kyle Kendrick,3,1,1,Yangervis Solarte,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,1,N/A,N/A,N/A
2,top,0,[],James Shields,1,2,2,DJ LeMahieu,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,1,N/A,N/A,N/A
2,top,0,[],James Shields,2,0,1,Rafael Ynoa,['N/A'],['N/A'],['N/A'],Pop Out,N/A,2,1,N/A,N/A,N/A
2,top,0,[],James Shields,3,3,2,Daniel Descalso,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,1,N/A,N/A,N/A
2,bottom,0,[],Kyle Kendrick,1,1,2,Derek Norris,['N/A'],['N/A'],['N/A'],Lineout,N/A,2,1,N/A,N/A,N/A
2,bottom,0,[],Kyle Kendrick,2,3,2,Yonder Alonso,['N/A'],['N/A'],['N/A'],Lineout,N/A,2,1,N/A,N/A,N/A
