p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Jones,,0,,CF,2,,0,0,5,Adam Jones,,,1.000,,.281,,,4,Adam,,,,,1,,,0,.739,,200,,0,,,0,,1,,2,,,0,1,1,0,0,Orioles,0,.432,0,.307
,Trumbo,,0,,DH,2,,0,0,5,Mark Trumbo,,,.000,,.255,,,4,Mark,,,,,0,,,0,.786,,400,,0,,,0,,0,,0,,,0,0,3,0,0,Orioles,0,.468,0,.318
,Davis,,0,,1B,1,,0,0,4,Chris Davis,,1,1.000,,.160,,,1,Chris,,,,,10,,,0,.518,,600,,0,,,3,,0,,1,,,0,1,1,0,0,Orioles,0,.284,0,.234
9,Cashner,5,0,1,P,0,24,0,0,0,Andrew Cashner,2,,1.000,0,.000,5,64,0,Andrew,0,7,,1,2,6,1/3,0,.000,0,,,0,52,,0,4.56,0,19,0,5,96,0,0,0,0,0,Orioles,0,.000,0,.000
,Marinez,,,,,,,,,,Jhan Marinez,,,,,,,,,Jhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Valencia,,,,,,,,,,Danny Valencia,,,,,,,,,Danny,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
0,Britton,1,0,0,P,0,3,0,0,0,Zach Britton,1,,.000,1,.000,0,10,0,Zach,2,2,,0,0,1,,0,.000,1,,,0,46,true,0,4.26,0,3,0,0,13,0,0,0,0,0,Orioles,0,.000,0,.000
,Cobb,,,,,,,,,,Alex Cobb,,,,,,,,,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,O'Day,,,,,,,,,,Darren O'Day,,,,,,,,,Darren,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Beckham,,0,,3B,3,,0,0,4,Tim Beckham,,,.000,,.215,,,1,Tim,,,,,0,,,1,.568,,100,,0,,,0,,0,,1,,,0,0,0,0,0,Orioles,0,.299,0,.269
,Bleier,,,,,,,,,,Richard Bleier,,,,,,,,,Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Brach,,,,,,,,,,Brad Brach,,,,,,,,,Brad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Joseph,,0,,C,0,,0,1,3,Caleb Joseph,,2,1.000,,.187,,,1,Caleb,,,,,11,,,0,.528,,900,,0,,,1,,0,,0,,,0,1,1,0,0,Orioles,0,.309,0,.219
,Schoop,,0,,2B,3,,0,0,5,Jonathan Schoop,,,1.000,,.227,,,0,Jonathan,,,,,0,,,0,.660,,500,,0,,,1,,1,,2,,,0,0,0,0,1,Orioles,0,.395,0,.265
6,Givens,1,0,0,P,0,3,0,0,0,Mychal Givens,0,,.000,2,.000,0,8,0,Mychal,1,1,,0,0,1,,0,.000,12,,,0,45,,0,4.50,0,3,0,0,10,0,0,0,0,0,Orioles,0,.000,0,.000
