rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,9,00:17:45,0,1,Akane YAMAGUCHI,smash,opponent wins by landing,wins by landing
2,2,00:18:01,0,2,Akane YAMAGUCHI,clear,goes out of bounds,opponent goes out of bounds
3,13,00:18:25,1,2,An Se Young,drop,hits the net,opponent hits the net
4,14,00:18:53,2,2,An Se Young,clear,goes out of bounds,opponent goes out of bounds
5,16,00:19:38,3,2,An Se Young,smash,goes out of bounds,opponent goes out of bounds
6,9,00:20:02,4,2,An Se Young,rush,opponent wins by landing,wins by landing
7,2,00:20:19,5,2,An Se Young,wrist smash,goes out of bounds,opponent goes out of bounds
8,8,00:21:14,5,3,Akane YAMAGUCHI,wrist smash,opponent wins by landing,wins by landing
9,18,00:21:46,5,4,Akane YAMAGUCHI,defensive return lob,goes out of bounds,opponent goes out of bounds
10,4,00:22:30,5,5,Akane YAMAGUCHI,push,goes out of bounds,opponent goes out of bounds
11,17,00:23:01,5,6,Akane YAMAGUCHI,smash,opponent wins by landing,wins by landing
12,9,00:23:26,6,6,An Se Young,net shot,hits the net,opponent hits the net
13,17,00:24:02,6,7,Akane YAMAGUCHI,drop,hits the net,opponent hits the net
14,10,00:24:29,7,7,An Se Young,drop,landing judgment error,opponent landing judgment error
15,7,00:24:55,8,7,An Se Young,clear,landing judgment error,opponent landing judgment error
16,23,00:25:41,8,8,Akane YAMAGUCHI,return net,goes out of bounds,opponent goes out of bounds
17,4,00:26:02,8,9,Akane YAMAGUCHI,net shot,fails to clear the net,opponent fails to clear the net
18,12,00:26:26,8,10,Akane YAMAGUCHI,push,goes out of bounds,opponent goes out of bounds
19,8,00:26:49,8,11,Akane YAMAGUCHI,drop,goes out of bounds,opponent goes out of bounds
20,12,00:28:37,8,12,Akane YAMAGUCHI,clear,goes out of bounds,opponent goes out of bounds
21,8,00:28:59,8,13,Akane YAMAGUCHI,push,goes out of bounds,opponent goes out of bounds
22,6,00:29:21,8,14,Akane YAMAGUCHI,wrist smash,hits the net,opponent hits the net
23,37,00:30:32,9,14,An Se Young,clear,goes out of bounds,opponent goes out of bounds
24,6,00:30:59,10,14,An Se Young,clear,goes out of bounds,opponent goes out of bounds
25,5,00:31:22,11,14,An Se Young,rush,opponent wins by landing,wins by landing
26,3,00:31:48,12,14,An Se Young,push,landing judgment error,opponent landing judgment error
27,11,00:32:13,12,15,Akane YAMAGUCHI,return net,fails to clear the net,opponent fails to clear the net
28,23,00:33:19,13,15,An Se Young,lob,goes out of bounds,opponent goes out of bounds
29,4,00:33:38,14,15,An Se Young,drop,hits the net,opponent hits the net
30,18,00:34:17,15,15,An Se Young,clear,goes out of bounds,opponent goes out of bounds
31,9,00:34:41,15,16,Akane YAMAGUCHI,clear,goes out of bounds,opponent goes out of bounds
32,7,00:35:16,16,16,An Se Young,drop,hits the net,opponent hits the net
33,4,00:35:37,17,16,An Se Young,lob,goes out of bounds,opponent goes out of bounds
34,13,00:36:03,17,17,Akane YAMAGUCHI,drop,hits the net,opponent hits the net
35,16,00:36:37,18,17,An Se Young,net shot,opponent wins by landing,wins by landing
36,8,00:37:05,18,18,Akane YAMAGUCHI,smash,opponent wins by landing,wins by landing
37,10,00:37:33,19,18,An Se Young,drop,opponent wins by landing,wins by landing
38,29,00:38:37,20,18,An Se Young,drop,opponent wins by landing,wins by landing
39,6,00:39:04,21,18,An Se Young,clear,goes out of bounds,opponent goes out of bounds
