rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,20,00:05:59,0,1,Pornpawee CHOCHUWONG,net shot,goes out of bounds,opponent goes out of bounds
2,13,00:06:32,1,1,An Se Young,return net,hits the net,opponent hits the net
3,19,00:07:17,1,2,Pornpawee CHOCHUWONG,wrist smash,hits the net,opponent hits the net
4,25,00:08:06,1,3,Pornpawee CHOCHUWONG,drop,opponent wins by landing,wins by landing
5,7,00:08:43,2,3,An Se Young,net shot,goes out of bounds,opponent goes out of bounds
6,12,00:09:13,3,3,An Se Young,push,goes out of bounds,opponent goes out of bounds
7,5,00:09:34,3,4,Pornpawee CHOCHUWONG,net shot,fails to clear the net,opponent fails to clear the net
8,4,00:10:07,3,5,Pornpawee CHOCHUWONG,defensive return lob,goes out of bounds,opponent goes out of bounds
9,7,00:10:34,4,5,An Se Young,lob,goes out of bounds,opponent goes out of bounds
10,6,00:10:53,5,5,An Se Young,clear,goes out of bounds,opponent goes out of bounds
11,3,00:11:12,5,6,Pornpawee CHOCHUWONG,return net,goes out of bounds,opponent goes out of bounds
12,9,00:11:37,6,6,An Se Young,back-court drive,hits the net,opponent hits the net
13,5,00:12:00,6,7,Pornpawee CHOCHUWONG,drop,goes out of bounds,opponent goes out of bounds
14,33,00:13:26,6,8,Pornpawee CHOCHUWONG,rush,opponent wins by landing,wins by landing
15,13,00:14:04,7,8,An Se Young,net shot,hits the net,opponent hits the net
16,4,00:14:28,8,8,An Se Young,push,goes out of bounds,opponent goes out of bounds
17,14,00:15:26,9,8,An Se Young,net shot,hits the net,opponent hits the net
18,13,00:15:56,10,8,An Se Young,rush,opponent wins by landing,wins by landing
19,4,00:16:20,11,8,An Se Young,push,goes out of bounds,opponent goes out of bounds
20,3,00:17:30,11,9,Pornpawee CHOCHUWONG,clear,goes out of bounds,opponent goes out of bounds
21,3,00:17:53,12,9,An Se Young,smash,goes out of bounds,opponent goes out of bounds
22,9,00:18:17,12,10,Pornpawee CHOCHUWONG,drop,hits the net,opponent hits the net
23,2,00:18:37,12,11,Pornpawee CHOCHUWONG,net shot,hits the net,opponent hits the net
24,10,00:19:00,12,12,Pornpawee CHOCHUWONG,smash,goes out of bounds,opponent goes out of bounds
25,14,00:19:38,12,13,Pornpawee CHOCHUWONG,net shot,goes out of bounds,opponent goes out of bounds
26,4,00:20:11,13,13,An Se Young,rush,opponent wins by landing,wins by landing
27,5,00:20:32,14,13,An Se Young,push,opponent wins by landing,wins by landing
28,5,00:20:56,14,14,Pornpawee CHOCHUWONG,clear,goes out of bounds,opponent goes out of bounds
29,1,00:21:14,15,14,An Se Young,short service,unknown,unknown
30,8,00:21:55,15,15,Pornpawee CHOCHUWONG,net shot,opponent wins by landing,wins by landing
31,35,00:23:25,16,15,An Se Young,drop,hits the net,opponent hits the net
32,7,00:24:02,16,16,Pornpawee CHOCHUWONG,return net,hits the net,opponent hits the net
33,11,00:24:48,17,16,An Se Young,net shot,hits the net,opponent hits the net
34,14,00:25:24,18,16,An Se Young,smash,hits the net,opponent hits the net
35,16,00:26:04,19,16,An Se Young,defensive return lob,goes out of bounds,opponent goes out of bounds
36,6,00:27:10,20,16,An Se Young,smash,goes out of bounds,opponent goes out of bounds
37,24,00:27:52,20,17,Pornpawee CHOCHUWONG,rush,opponent wins by landing,wins by landing
38,1,00:28:27,21,17,An Se Young,unknown,goes out of bounds,opponent goes out of bounds
