rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,10,00:10:20,0,1,An Se Young,drop,opponent wins by landing,wins by landing
2,6,00:10:38,1,1,Akane YAMAGUCHI,smash,opponent wins by landing,wins by landing
3,11,00:11:04,1,2,An Se Young,unknown,hits the net,opponent hits the net
4,9,00:11:28,2,2,Akane YAMAGUCHI,return net,fails to clear the net,opponent fails to clear the net
5,5,00:11:53,2,3,An Se Young,drop,goes out of bounds,opponent goes out of bounds
6,10,00:12:15,3,3,Akane YAMAGUCHI,return net,opponent wins by landing,wins by landing
7,7,00:12:39,4,3,Akane YAMAGUCHI,clear,opponent wins by landing,wins by landing
8,24,00:13:53,5,3,Akane YAMAGUCHI,lob,goes out of bounds,opponent goes out of bounds
9,4,00:14:17,6,3,Akane YAMAGUCHI,push,goes out of bounds,opponent goes out of bounds
10,3,00:14:35,6,4,An Se Young,wrist smash,goes out of bounds,opponent goes out of bounds
11,31,00:15:21,7,4,Akane YAMAGUCHI,clear,goes out of bounds,opponent goes out of bounds
12,11,00:15:52,7,5,An Se Young,push,goes out of bounds,opponent goes out of bounds
15,8,00:17:13,9,6,Akane YAMAGUCHI,net shot,fails to clear the net,opponent fails to clear the net
17,6,00:18:01,11,6,Akane YAMAGUCHI,drop,hits the net,opponent hits the net
19,15,00:19:55,12,7,Akane YAMAGUCHI,lob,goes out of bounds,opponent goes out of bounds
20,19,00:20:34,12,8,An Se Young,lob,goes out of bounds,opponent goes out of bounds
21,13,00:21:06,12,9,An Se Young,drop,opponent wins by landing,wins by landing
22,9,00:21:36,13,9,Akane YAMAGUCHI,unknown,fails to clear the net,opponent fails to clear the net
24,20,00:22:52,15,9,Akane YAMAGUCHI,unknown,goes out of bounds,opponent goes out of bounds
25,13,00:23:50,15,10,An Se Young,smash,hits the net,opponent hits the net
26,6,00:24:14,15,11,An Se Young,unknown,hits the net,opponent hits the net
27,21,00:24:56,16,11,Akane YAMAGUCHI,clear,goes out of bounds,opponent goes out of bounds
28,9,00:25:26,16,12,An Se Young,clear,goes out of bounds,opponent goes out of bounds
29,9,00:26:02,17,12,Akane YAMAGUCHI,wrist smash,goes out of bounds,opponent goes out of bounds
30,3,00:26:21,18,12,Akane YAMAGUCHI,clear,opponent wins by landing,wins by landing
32,21,00:27:25,18,14,An Se Young,smash,opponent wins by landing,wins by landing
33,22,00:28:12,19,14,Akane YAMAGUCHI,clear,opponent wins by landing,wins by landing
34,5,00:28:55,19,15,An Se Young,net shot,fails to clear the net,opponent fails to clear the net
35,3,00:29:12,20,15,Akane YAMAGUCHI,push,goes out of bounds,opponent goes out of bounds
