rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,8,00:07:00,0,1,Supanida KATETHONG,unknown,hits the net,opponent hits the net
2,5,00:07:20,1,1,Busanan ONGBAMRUNGPHAN,clear,goes out of bounds,opponent goes out of bounds
3,10,00:07:47,1,2,Supanida KATETHONG,drop,opponent wins by landing,wins by landing
4,7,00:08:10,2,2,Busanan ONGBAMRUNGPHAN,defensive return drive,goes out of bounds,opponent goes out of bounds
5,10,00:08:42,3,2,Busanan ONGBAMRUNGPHAN,drop,goes out of bounds,opponent goes out of bounds
6,6,00:09:06,3,3,Supanida KATETHONG,net shot,opponent wins by landing,wins by landing
7,14,00:09:36,3,4,Supanida KATETHONG,lob,goes out of bounds,opponent goes out of bounds
8,2,00:10:01,4,4,Busanan ONGBAMRUNGPHAN,push,opponent wins by landing,wins by landing
9,16,00:10:59,5,4,Busanan ONGBAMRUNGPHAN,wrist smash,goes out of bounds,opponent goes out of bounds
10,8,00:11:49,6,4,Busanan ONGBAMRUNGPHAN,net shot,goes out of bounds,opponent goes out of bounds
11,13,00:12:22,7,4,Busanan ONGBAMRUNGPHAN,smash,opponent wins by landing,wins by landing
12,4,00:12:57,7,5,Supanida KATETHONG,drop,opponent wins by landing,wins by landing
13,10,00:13:25,8,5,Busanan ONGBAMRUNGPHAN,smash,opponent wins by landing,wins by landing
14,4,00:13:48,8,6,Supanida KATETHONG,wrist smash,opponent wins by landing,wins by landing
15,23,00:14:37,8,7,Supanida KATETHONG,drop,opponent wins by landing,wins by landing
16,3,00:15:19,9,7,Busanan ONGBAMRUNGPHAN,net shot,hits the net,opponent hits the net
17,10,00:15:50,9,8,Supanida KATETHONG,rush,opponent wins by landing,wins by landing
18,2,00:16:19,9,9,Supanida KATETHONG,push,goes out of bounds,opponent goes out of bounds
19,6,00:16:41,9,10,Supanida KATETHONG,back-court drive,goes out of bounds,opponent goes out of bounds
20,9,00:17:06,10,10,Busanan ONGBAMRUNGPHAN,net shot,fails to clear the net,opponent fails to clear the net
21,8,00:17:40,11,10,Busanan ONGBAMRUNGPHAN,push,hits the net,opponent hits the net
22,7,00:19:04,11,11,Supanida KATETHONG,drop,hits the net,opponent hits the net
23,1,00:19:31,12,11,Busanan ONGBAMRUNGPHAN,short service,unknown,unknown
24,25,00:20:13,12,12,Supanida KATETHONG,net shot,hits the net,opponent hits the net
25,14,00:20:56,12,13,Supanida KATETHONG,net shot,goes out of bounds,opponent goes out of bounds
26,3,00:21:35,13,13,Busanan ONGBAMRUNGPHAN,lob,goes out of bounds,opponent goes out of bounds
27,2,00:21:58,14,13,Busanan ONGBAMRUNGPHAN,smash,hits the net,opponent hits the net
28,6,00:22:18,14,14,Supanida KATETHONG,drop,opponent wins by landing,wins by landing
29,2,00:22:41,14,15,Supanida KATETHONG,net shot,hits the net,opponent hits the net
30,5,00:23:03,15,15,Busanan ONGBAMRUNGPHAN,return net,hits the net,opponent hits the net
31,8,00:23:30,16,15,Busanan ONGBAMRUNGPHAN,push,goes out of bounds,opponent goes out of bounds
32,4,00:23:59,16,16,Supanida KATETHONG,net shot,opponent wins by landing,wins by landing
33,8,00:24:25,16,17,Supanida KATETHONG,return net,hits the net,opponent hits the net
34,13,00:25:02,16,18,Supanida KATETHONG,smash,opponent wins by landing,wins by landing
35,11,00:25:50,17,18,Busanan ONGBAMRUNGPHAN,wrist smash,goes out of bounds,opponent goes out of bounds
36,18,00:26:35,17,19,Supanida KATETHONG,clear,opponent wins by landing,wins by landing
37,13,00:27:46,18,19,Busanan ONGBAMRUNGPHAN,lob,hits the net,opponent hits the net
38,4,00:28:17,18,20,Supanida KATETHONG,net shot,opponent wins by landing,wins by landing
39,25,00:29:07,19,20,Busanan ONGBAMRUNGPHAN,push,goes out of bounds,opponent goes out of bounds
40,2,00:29:54,20,20,Busanan ONGBAMRUNGPHAN,smash,goes out of bounds,opponent goes out of bounds
41,11,00:30:50,21,20,Busanan ONGBAMRUNGPHAN,smash,opponent wins by landing,wins by landing
42,6,00:31:25,22,20,Busanan ONGBAMRUNGPHAN,net shot,hits the net,opponent hits the net
