rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,5,00:10:37,0,1,HE Bingjiao,wrist smash,hits the net,opponent hits the net
2,11,00:11:00,0,2,HE Bingjiao,smash,opponent wins by landing,wins by landing
3,15,00:11:33,1,2,CHEN Yufei,push,goes out of bounds,opponent goes out of bounds
4,9,00:12:08,1,3,HE Bingjiao,wrist smash,goes out of bounds,opponent goes out of bounds
5,3,00:12:27,2,3,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
6,7,00:13:17,3,3,CHEN Yufei,rush,opponent wins by landing,wins by landing
7,8,00:13:37,3,4,HE Bingjiao,wrist smash,opponent wins by landing,wins by landing
8,13,00:14:19,3,5,HE Bingjiao,rush,opponent wins by landing,wins by landing
9,9,00:14:48,3,6,HE Bingjiao,smash,opponent wins by landing,wins by landing
10,14,00:15:18,4,6,CHEN Yufei,smash,opponent wins by landing,wins by landing
11,2,00:15:47,4,7,HE Bingjiao,clear,landing judgment error,opponent landing judgment error
12,4,00:16:37,4,8,HE Bingjiao,cross-court net shot,hits the net,opponent hits the net
13,9,00:16:59,5,8,CHEN Yufei,return net,hits the net,opponent hits the net
14,15,00:17:28,6,8,CHEN Yufei,drop,opponent wins by landing,wins by landing
15,5,00:17:52,6,9,HE Bingjiao,lob,goes out of bounds,opponent goes out of bounds
16,5,00:18:14,7,9,CHEN Yufei,return net,goes out of bounds,opponent goes out of bounds
17,10,00:18:41,8,9,CHEN Yufei,net shot,hits the net,opponent hits the net
18,13,00:19:12,8,10,HE Bingjiao,lob,goes out of bounds,opponent goes out of bounds
19,15,00:19:46,9,10,CHEN Yufei,wrist smash,goes out of bounds,opponent goes out of bounds
20,28,00:20:32,9,11,HE Bingjiao,smash,opponent wins by landing,wins by landing
21,24,00:22:17,10,11,CHEN Yufei,rush,opponent wins by landing,wins by landing
22,10,00:22:57,11,11,CHEN Yufei,net shot,fails to clear the net,opponent fails to clear the net
23,9,00:23:26,11,12,HE Bingjiao,clear,goes out of bounds,opponent goes out of bounds
24,8,00:24:04,11,13,HE Bingjiao,return net,hits the net,opponent hits the net
25,2,00:24:25,11,14,HE Bingjiao,push,goes out of bounds,opponent goes out of bounds
26,7,00:24:59,12,14,CHEN Yufei,net shot,hits the net,opponent hits the net
27,34,00:25:47,13,14,CHEN Yufei,drop,goes out of bounds,opponent goes out of bounds
28,20,00:26:31,14,14,CHEN Yufei,drop,goes out of bounds,opponent goes out of bounds
29,14,00:27:11,14,15,HE Bingjiao,rush,opponent wins by landing,wins by landing
30,4,00:27:57,15,15,CHEN Yufei,smash,opponent wins by landing,wins by landing
31,40,00:29:00,16,15,CHEN Yufei,return net,goes out of bounds,opponent goes out of bounds
32,6,00:29:43,17,15,CHEN Yufei,lob,hits the net,opponent hits the net
33,15,00:30:18,17,16,HE Bingjiao,push,goes out of bounds,opponent goes out of bounds
34,9,00:31:04,18,16,CHEN Yufei,return net,fails to clear the net,opponent fails to clear the net
35,8,00:31:35,19,16,CHEN Yufei,net shot,hits the net,opponent hits the net
36,4,00:32:07,20,16,CHEN Yufei,drop,hits the net,opponent hits the net
37,5,00:32:27,20,17,HE Bingjiao,return net,hits the net,opponent hits the net
38,3,00:32:48,21,17,CHEN Yufei,push,goes out of bounds,opponent goes out of bounds
