rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,5,00:31:06,0,1,PUSARLA V. Sindhu,smash,goes out of bounds,opponent goes out of bounds
2,2,00:31:57,0,2,PUSARLA V. Sindhu,net shot,hits the net,opponent hits the net
3,2,00:32:10,1,2,CHEN Yufei,push,opponent wins by landing,wins by landing
4,18,00:32:39,1,3,PUSARLA V. Sindhu,rush,opponent wins by landing,wins by landing
5,4,00:33:02,2,3,CHEN Yufei,wrist smash,opponent wins by landing,wins by landing
6,6,00:33:31,2,4,PUSARLA V. Sindhu,rush,opponent wins by landing,wins by landing
7,3,00:33:50,2,5,PUSARLA V. Sindhu,smash,opponent wins by landing,wins by landing
8,9,00:34:13,3,5,CHEN Yufei,return net,fails to clear the net,opponent fails to clear the net
9,10,00:34:42,3,6,PUSARLA V. Sindhu,drop,opponent wins by landing,wins by landing
10,4,00:35:04,4,6,CHEN Yufei,smash,opponent wins by landing,wins by landing
11,6,00:35:33,4,7,PUSARLA V. Sindhu,net shot,opponent wins by landing,wins by landing
12,4,00:35:55,4,8,PUSARLA V. Sindhu,lob,goes out of bounds,opponent goes out of bounds
13,1,00:36:08,5,8,CHEN Yufei,long service,goes out of bounds,opponent goes out of bounds
14,17,00:36:38,5,9,PUSARLA V. Sindhu,net shot,hits the net,opponent hits the net
15,13,00:37:12,5,10,PUSARLA V. Sindhu,clear,landing judgment error,opponent landing judgment error
16,11,00:37:47,6,10,CHEN Yufei,wrist smash,fails to clear the net,opponent fails to clear the net
17,4,00:38:14,7,10,CHEN Yufei,lob,goes out of bounds,opponent goes out of bounds
18,11,00:38:43,8,10,CHEN Yufei,wrist smash,opponent wins by landing,wins by landing
19,7,00:39:17,8,11,PUSARLA V. Sindhu,smash,goes out of bounds,opponent goes out of bounds
20,25,00:41:01,9,11,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
21,6,00:41:35,10,11,CHEN Yufei,smash,hits the net,opponent hits the net
22,17,00:42:18,11,11,CHEN Yufei,wrist smash,opponent wins by landing,wins by landing
23,3,00:42:47,12,11,CHEN Yufei,lob,landing judgment error,opponent landing judgment error
24,4,00:43:42,13,11,CHEN Yufei,net shot,goes out of bounds,opponent goes out of bounds
25,7,00:44:04,13,12,PUSARLA V. Sindhu,return net,hits the net,opponent hits the net
26,11,00:44:31,14,12,CHEN Yufei,smash,goes out of bounds,opponent goes out of bounds
27,8,00:44:59,15,12,CHEN Yufei,drop,hits the net,opponent hits the net
28,13,00:45:33,15,13,PUSARLA V. Sindhu,lob,goes out of bounds,opponent goes out of bounds
29,14,00:46:12,15,14,PUSARLA V. Sindhu,drop,hits the net,opponent hits the net
30,3,00:46:43,16,14,CHEN Yufei,return net,hits the net,opponent hits the net
31,2,00:47:04,17,14,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
32,22,00:47:44,17,15,PUSARLA V. Sindhu,drop,landing judgment error,opponent landing judgment error
33,7,00:49:03,18,15,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
34,9,00:49:32,19,15,CHEN Yufei,smash,opponent wins by landing,wins by landing
35,5,00:50:04,20,15,CHEN Yufei,net shot,opponent wins by landing,wins by landing
36,5,00:50:28,20,16,PUSARLA V. Sindhu,lob,goes out of bounds,opponent goes out of bounds
37,4,00:50:47,21,16,CHEN Yufei,smash,opponent wins by landing,wins by landing
