rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,13,00:05:36,1,0,HE Bingjiao,smash,opponent wins by landing,wins by landing
2,10,00:05:59,2,0,HE Bingjiao,drop,goes out of bounds,opponent goes out of bounds
3,9,00:06:26,2,1,CHEN Yufei,drive,hits the net,opponent hits the net
4,11,00:06:58,2,2,CHEN Yufei,smash,opponent wins by landing,wins by landing
5,14,00:07:31,2,3,CHEN Yufei,lob,goes out of bounds,opponent goes out of bounds
6,5,00:07:56,3,3,HE Bingjiao,wrist smash,goes out of bounds,opponent goes out of bounds
7,3,00:08:16,3,4,CHEN Yufei,net shot,hits the net,opponent hits the net
8,4,00:08:35,3,5,CHEN Yufei,push,goes out of bounds,opponent goes out of bounds
9,20,00:09:09,3,6,CHEN Yufei,return net,goes out of bounds,opponent goes out of bounds
10,6,00:09:37,4,6,HE Bingjiao,smash,opponent wins by landing,wins by landing
11,5,00:10:06,5,6,HE Bingjiao,defensive return lob,landing judgment error,opponent landing judgment error
12,2,00:10:26,6,6,HE Bingjiao,lob,goes out of bounds,opponent goes out of bounds
13,13,00:10:53,6,7,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
14,13,00:11:24,6,8,CHEN Yufei,wrist smash,opponent wins by landing,wins by landing
15,4,00:11:49,6,9,CHEN Yufei,unknown,hits the net,opponent hits the net
16,7,00:12:12,7,9,HE Bingjiao,wrist smash,goes out of bounds,opponent goes out of bounds
17,5,00:12:35,7,10,CHEN Yufei,wrist smash,goes out of bounds,opponent goes out of bounds
18,2,00:12:52,8,10,HE Bingjiao,smash,opponent wins by landing,wins by landing
19,18,00:13:28,9,10,HE Bingjiao,net shot,fails to clear the net,opponent fails to clear the net
20,21,00:14:19,9,11,CHEN Yufei,wrist smash,goes out of bounds,opponent goes out of bounds
21,18,00:15:47,10,11,HE Bingjiao,net shot,opponent wins by landing,wins by landing
22,2,00:16:12,11,11,HE Bingjiao,net shot,hits the net,opponent hits the net
23,29,00:16:59,12,11,HE Bingjiao,drop,opponent wins by landing,wins by landing
24,7,00:17:41,13,11,HE Bingjiao,lob,landing judgment error,opponent landing judgment error
25,23,00:18:28,14,11,HE Bingjiao,rush,opponent wins by landing,wins by landing
26,8,00:19:09,14,12,CHEN Yufei,defensive return lob,opponent wins by landing,wins by landing
27,13,00:19:44,15,12,HE Bingjiao,lob,goes out of bounds,opponent goes out of bounds
28,8,00:20:13,15,13,CHEN Yufei,clear,landing judgment error,opponent landing judgment error
29,7,00:20:52,16,13,HE Bingjiao,return net,hits the net,opponent hits the net
30,13,00:21:23,17,13,HE Bingjiao,rush,opponent wins by landing,wins by landing
31,9,00:21:58,17,14,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
32,19,00:22:41,18,14,HE Bingjiao,drop,hits the net,opponent hits the net
33,8,00:23:24,19,14,HE Bingjiao,lob,hits the net,opponent hits the net
34,19,00:24:05,20,14,HE Bingjiao,drop,opponent wins by landing,wins by landing
35,6,00:24:36,21,14,HE Bingjiao,net shot,fails to clear the net,opponent fails to clear the net
