rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,9,00:43:33,1,0,Kenta NISHIMOTO,drop,opponent wins by landing,wins by landing
2,16,00:44:10,2,0,Kenta NISHIMOTO,clear,goes out of bounds,opponent goes out of bounds
3,22,00:44:55,3,0,Kenta NISHIMOTO,clear,goes out of bounds,opponent goes out of bounds
4,19,00:46:03,3,1,Anders ANTONSEN,net shot,fails to clear the net,opponent fails to clear the net
5,6,00:47:02,3,2,Anders ANTONSEN,net shot,hits the net,opponent hits the net
6,15,00:47:34,3,3,Anders ANTONSEN,lob,landing judgment error,opponent landing judgment error
7,13,00:48:09,4,3,Kenta NISHIMOTO,return net,goes out of bounds,opponent goes out of bounds
8,16,00:48:48,5,3,Kenta NISHIMOTO,clear,goes out of bounds,opponent goes out of bounds
9,2,00:49:14,6,3,Kenta NISHIMOTO,net shot,hits the net,opponent hits the net
10,10,00:49:42,7,3,Kenta NISHIMOTO,return net,fails to clear the net,opponent fails to clear the net
11,4,00:50:45,8,3,Kenta NISHIMOTO,smash,goes out of bounds,opponent goes out of bounds
12,4,00:51:13,9,3,Kenta NISHIMOTO,smash,hits the net,opponent hits the net
13,15,00:52:11,9,4,Anders ANTONSEN,smash,goes out of bounds,opponent goes out of bounds
14,3,00:53:09,10,4,Kenta NISHIMOTO,net shot,goes out of bounds,opponent goes out of bounds
15,32,00:53:56,11,4,Kenta NISHIMOTO,clear,goes out of bounds,opponent goes out of bounds
16,4,00:55:33,11,5,Anders ANTONSEN,return net,opponent wins by landing,wins by landing
17,5,00:55:59,11,6,Anders ANTONSEN,smash,opponent wins by landing,wins by landing
18,12,00:56:37,11,7,Anders ANTONSEN,return net,goes out of bounds,opponent goes out of bounds
19,5,00:57:19,12,7,Kenta NISHIMOTO,net shot,fails to clear the net,opponent fails to clear the net
20,23,00:58:14,12,8,Anders ANTONSEN,clear,goes out of bounds,opponent goes out of bounds
21,11,00:58:52,13,8,Kenta NISHIMOTO,clear,goes out of bounds,opponent goes out of bounds
22,9,00:59:25,13,9,Anders ANTONSEN,drop,hits the net,opponent hits the net
23,13,00:59:59,14,9,Kenta NISHIMOTO,defensive return drive,goes out of bounds,opponent goes out of bounds
24,3,01:01:24,14,10,Anders ANTONSEN,net shot,hits the net,opponent hits the net
25,37,01:02:20,14,11,Anders ANTONSEN,smash,opponent wins by landing,wins by landing
26,10,01:03:30,14,12,Anders ANTONSEN,lob,hits the net,opponent hits the net
27,8,01:04:04,14,13,Anders ANTONSEN,return net,goes out of bounds,opponent goes out of bounds
28,2,01:04:24,14,14,Anders ANTONSEN,lob,goes out of bounds,opponent goes out of bounds
29,18,01:04:56,14,15,Anders ANTONSEN,clear,goes out of bounds,opponent goes out of bounds
30,31,01:05:49,14,16,Anders ANTONSEN,net shot,opponent wins by landing,wins by landing
31,7,01:06:23,15,16,Kenta NISHIMOTO,smash,goes out of bounds,opponent goes out of bounds
32,5,01:07:09,15,17,Anders ANTONSEN,return net,hits the net,opponent hits the net
33,11,01:07:52,16,17,Kenta NISHIMOTO,rush,opponent wins by landing,wins by landing
34,4,01:08:26,17,17,Kenta NISHIMOTO,push,goes out of bounds,opponent goes out of bounds
35,28,01:09:11,18,17,Kenta NISHIMOTO,push,goes out of bounds,opponent goes out of bounds
36,19,01:10:40,19,17,Kenta NISHIMOTO,push,landing judgment error,opponent landing judgment error
37,35,01:12:27,20,17,Kenta NISHIMOTO,smash,opponent wins by landing,wins by landing
38,1,01:13:44,20,18,Anders ANTONSEN,long service,unknown,unknown
39,12,01:14:42,20,19,Anders ANTONSEN,rush,hits the net,opponent hits the net
40,17,01:15:26,21,19,Kenta NISHIMOTO,lob,goes out of bounds,opponent goes out of bounds
