rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,18,00:09:42,0,1,LEE Zii Jia,lob,goes out of bounds,opponent goes out of bounds
2,21,00:10:17,0,2,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
3,20,00:11:01,1,2,Kunlavut VITIDSARN,clear,opponent wins by landing,wins by landing
4,4,00:11:33,2,2,Kunlavut VITIDSARN,clear,goes out of bounds,opponent goes out of bounds
5,7,00:11:50,2,3,LEE Zii Jia,drop,hits the net,opponent hits the net
6,25,00:12:40,3,3,Kunlavut VITIDSARN,net shot,fails to clear the net,opponent fails to clear the net
7,7,00:13:07,4,3,Kunlavut VITIDSARN,clear,opponent wins by landing,wins by landing
8,7,00:13:38,4,4,LEE Zii Jia,smash,goes out of bounds,opponent goes out of bounds
9,5,00:14:00,5,4,Kunlavut VITIDSARN,push,goes out of bounds,opponent goes out of bounds
10,13,00:14:24,6,4,Kunlavut VITIDSARN,return net,opponent wins by landing,wins by landing
11,8,00:14:53,6,5,LEE Zii Jia,smash,opponent wins by landing,wins by landing
12,17,00:15:48,6,6,LEE Zii Jia,smash,opponent wins by landing,wins by landing
13,12,00:16:33,6,7,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
14,19,00:17:10,7,7,Kunlavut VITIDSARN,return net,hits the net,opponent hits the net
15,13,00:18:05,8,7,Kunlavut VITIDSARN,smash,opponent wins by landing,wins by landing
16,5,00:18:29,9,7,Kunlavut VITIDSARN,smash,opponent wins by landing,wins by landing
17,9,00:18:56,10,7,Kunlavut VITIDSARN,smash,opponent wins by landing,wins by landing
18,24,00:19:37,11,7,Kunlavut VITIDSARN,return net,goes out of bounds,opponent goes out of bounds
19,18,00:21:18,12,7,Kunlavut VITIDSARN,unknown,goes out of bounds,opponent goes out of bounds
20,21,00:21:58,12,8,LEE Zii Jia,defensive return drive,goes out of bounds,opponent goes out of bounds
21,9,00:22:29,12,9,LEE Zii Jia,smash,opponent wins by landing,wins by landing
22,14,00:23:03,12,10,LEE Zii Jia,drop,hits the net,opponent hits the net
23,27,00:23:58,13,10,Kunlavut VITIDSARN,net shot,fails to clear the net,opponent fails to clear the net
24,22,00:24:46,14,10,Kunlavut VITIDSARN,net shot,fails to clear the net,opponent fails to clear the net
25,5,00:25:40,15,10,Kunlavut VITIDSARN,back-court drive,opponent wins by landing,wins by landing
27,5,00:26:30,16,11,Kunlavut VITIDSARN,return net,goes out of bounds,opponent goes out of bounds
28,14,00:27:03,17,11,Kunlavut VITIDSARN,clear,goes out of bounds,opponent goes out of bounds
29,5,00:27:54,17,12,LEE Zii Jia,return net,goes out of bounds,opponent goes out of bounds
30,15,00:28:25,18,12,Kunlavut VITIDSARN,drop,hits the net,opponent hits the net
31,4,00:28:52,18,13,LEE Zii Jia,rush,opponent wins by landing,wins by landing
32,3,00:29:07,19,13,Kunlavut VITIDSARN,push,goes out of bounds,opponent goes out of bounds
33,8,00:29:26,20,13,Kunlavut VITIDSARN,drop,hits the net,opponent hits the net
34,6,00:29:46,21,13,Kunlavut VITIDSARN,push,goes out of bounds,opponent goes out of bounds
