rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,10,00:36:45,1,0,Kunlavut VITIDSARN,return net,hits the net,opponent hits the net
2,2,00:37:10,2,0,Kunlavut VITIDSARN,lob,goes out of bounds,opponent goes out of bounds
3,4,00:37:25,3,0,Kunlavut VITIDSARN,smash,goes out of bounds,opponent goes out of bounds
4,11,00:37:47,4,0,Kunlavut VITIDSARN,rush,opponent wins by landing,wins by landing
5,9,00:38:16,5,0,Kunlavut VITIDSARN,push,landing judgment error,opponent landing judgment error
6,8,00:38:40,6,0,Kunlavut VITIDSARN,rush,hits the net,opponent hits the net
7,4,00:39:07,7,0,Kunlavut VITIDSARN,net shot,hits the net,opponent hits the net
8,6,00:39:28,8,0,Kunlavut VITIDSARN,lob,goes out of bounds,opponent goes out of bounds
9,28,00:40:09,9,0,Kunlavut VITIDSARN,drop,goes out of bounds,opponent goes out of bounds
10,18,00:40:48,10,0,Kunlavut VITIDSARN,net shot,hits the net,opponent hits the net
11,40,00:41:48,10,1,ZHAO Jun Peng,rush,opponent wins by landing,wins by landing
12,14,00:42:45,11,1,Kunlavut VITIDSARN,cross-court net shot,opponent wins by landing,wins by landing
13,7,00:44:06,12,1,Kunlavut VITIDSARN,rush,opponent wins by landing,wins by landing
14,2,00:44:22,13,1,Kunlavut VITIDSARN,lob,goes out of bounds,opponent goes out of bounds
15,15,00:44:48,13,2,ZHAO Jun Peng,drop,hits the net,opponent hits the net
16,3,00:45:12,13,3,ZHAO Jun Peng,smash,opponent wins by landing,wins by landing
17,51,00:46:17,14,3,Kunlavut VITIDSARN,clear,goes out of bounds,opponent goes out of bounds
18,1,00:47:10,14,4,ZHAO Jun Peng,long service,goes out of bounds,opponent goes out of bounds
20,4,00:48:06,16,4,Kunlavut VITIDSARN,unknown,hits the net,opponent hits the net
21,5,00:48:26,17,4,Kunlavut VITIDSARN,lob,landing judgment error,opponent landing judgment error
22,6,00:48:49,17,5,ZHAO Jun Peng,clear,landing judgment error,opponent landing judgment error
23,3,00:49:07,18,5,Kunlavut VITIDSARN,push,goes out of bounds,opponent goes out of bounds
24,4,00:49:59,19,5,Kunlavut VITIDSARN,net shot,fails to clear the net,opponent fails to clear the net
25,8,00:50:19,20,5,Kunlavut VITIDSARN,unknown,hits the net,opponent hits the net
26,13,00:50:55,20,6,ZHAO Jun Peng,lob,goes out of bounds,opponent goes out of bounds
27,13,00:51:21,21,6,Kunlavut VITIDSARN,unknown,goes out of bounds,opponent goes out of bounds
