rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,4,00:25:29,0,1,LIEW Daren,smash,opponent wins by landing,wins by landing
2,2,00:25:45,0,2,LIEW Daren,smash,goes out of bounds,opponent goes out of bounds
3,7,00:26:05,1,2,LEE Zii Jia,wrist smash,goes out of bounds,opponent goes out of bounds
4,6,00:26:22,1,3,LIEW Daren,rush,opponent wins by landing,wins by landing
5,9,00:26:53,2,3,LEE Zii Jia,drop,goes out of bounds,opponent goes out of bounds
6,17,00:27:21,2,4,LIEW Daren,net shot,hits the net,opponent hits the net
7,10,00:27:55,2,5,LIEW Daren,wrist smash,hits the net,opponent hits the net
8,4,00:28:19,2,6,LIEW Daren,lob,goes out of bounds,opponent goes out of bounds
9,2,00:28:38,3,6,LEE Zii Jia,lob,landing judgment error,opponent landing judgment error
10,5,00:28:56,4,6,LEE Zii Jia,smash,opponent wins by landing,wins by landing
11,5,00:29:16,4,7,LIEW Daren,push,hits the net,opponent hits the net
12,8,00:29:46,4,8,LIEW Daren,push,hits the net,opponent hits the net
13,2,00:30:04,5,8,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
14,30,00:30:45,5,9,LIEW Daren,rush,opponent wins by landing,wins by landing
15,7,00:31:39,5,10,LIEW Daren,rush,opponent wins by landing,wins by landing
16,12,00:32:07,5,11,LIEW Daren,return net,fails to clear the net,opponent fails to clear the net
17,1,00:33:29,6,11,LEE Zii Jia,short service,goes out of bounds,opponent goes out of bounds
18,5,00:33:45,6,12,LIEW Daren,return net,fails to clear the net,opponent fails to clear the net
19,3,00:34:02,6,13,LIEW Daren,push,opponent wins by landing,wins by landing
20,6,00:34:23,7,13,LEE Zii Jia,lob,opponent wins by landing,wins by landing
21,9,00:34:48,8,13,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
22,6,00:35:11,9,13,LEE Zii Jia,clear,goes out of bounds,opponent goes out of bounds
23,33,00:36:01,9,14,LIEW Daren,lob,goes out of bounds,opponent goes out of bounds
24,7,00:36:58,9,15,LIEW Daren,rush,opponent wins by landing,wins by landing
25,2,00:37:18,10,15,LEE Zii Jia,drop,opponent wins by landing,wins by landing
26,4,00:37:36,10,16,LIEW Daren,net shot,opponent wins by landing,wins by landing
27,6,00:37:56,11,16,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
28,5,00:38:16,12,16,LEE Zii Jia,lob,opponent wins by landing,wins by landing
29,4,00:38:35,13,16,LEE Zii Jia,smash,goes out of bounds,opponent goes out of bounds
30,3,00:38:50,13,17,LIEW Daren,lob,goes out of bounds,opponent goes out of bounds
31,6,00:39:21,13,18,LIEW Daren,defensive return lob,goes out of bounds,opponent goes out of bounds
32,6,00:39:42,13,19,LIEW Daren,lob,goes out of bounds,opponent goes out of bounds
33,4,00:40:02,13,20,LIEW Daren,return net,hits the net,opponent hits the net
34,6,00:40:22,13,21,LIEW Daren,net shot,hits the net,opponent hits the net
