rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,7,01:06:19,1,0,LI Shi Feng,back-court drive,hits the net,opponent hits the net
2,12,01:06:48,2,0,LI Shi Feng,smash,hits the net,opponent hits the net
4,41,01:08:29,3,1,LI Shi Feng,return net,hits the net,opponent hits the net
5,20,01:09:34,4,1,LI Shi Feng,lob,hits the net,opponent hits the net
7,3,01:11:05,5,2,Kodai NARAOKA,lob,goes out of bounds,opponent goes out of bounds
8,3,01:11:29,5,3,Kodai NARAOKA,smash,opponent wins by landing,wins by landing
9,15,01:12:04,6,3,LI Shi Feng,smash,hits the net,opponent hits the net
10,7,01:12:58,6,4,Kodai NARAOKA,push,goes out of bounds,opponent goes out of bounds
11,12,01:13:29,7,4,LI Shi Feng,smash,opponent wins by landing,wins by landing
12,18,01:14:20,8,4,LI Shi Feng,smash,goes out of bounds,opponent goes out of bounds
13,23,01:15:34,8,5,Kodai NARAOKA,smash,goes out of bounds,opponent goes out of bounds
14,26,01:16:50,9,5,LI Shi Feng,rush,opponent wins by landing,wins by landing
16,5,01:17:59,9,7,Kodai NARAOKA,rush,opponent wins by landing,wins by landing
17,23,01:18:39,9,8,Kodai NARAOKA,smash,opponent wins by landing,wins by landing
18,14,01:19:48,9,9,Kodai NARAOKA,return net,goes out of bounds,opponent goes out of bounds
19,25,01:20:45,9,10,Kodai NARAOKA,smash,opponent wins by landing,wins by landing
20,5,01:21:43,10,10,LI Shi Feng,cross-court net shot,hits the net,opponent hits the net
21,5,01:22:10,10,11,Kodai NARAOKA,return net,hits the net,opponent hits the net
22,18,01:23:58,10,12,Kodai NARAOKA,drop,hits the net,opponent hits the net
23,13,01:24:27,11,12,LI Shi Feng,lob,goes out of bounds,opponent goes out of bounds
24,10,01:25:11,12,12,LI Shi Feng,return net,hits the net,opponent hits the net
25,9,01:25:47,13,12,LI Shi Feng,defensive return drive,opponent wins by landing,wins by landing
26,34,01:26:52,14,12,LI Shi Feng,net shot,fails to clear the net,opponent fails to clear the net
27,5,01:27:43,14,13,Kodai NARAOKA,smash,goes out of bounds,opponent goes out of bounds
28,5,01:28:52,15,13,LI Shi Feng,return net,hits the net,opponent hits the net
29,35,01:29:52,15,14,Kodai NARAOKA,smash,goes out of bounds,opponent goes out of bounds
30,3,01:30:56,16,14,LI Shi Feng,lob,goes out of bounds,opponent goes out of bounds
31,5,01:31:28,16,15,Kodai NARAOKA,back-court drive,goes out of bounds,opponent goes out of bounds
32,16,01:32:49,16,16,Kodai NARAOKA,smash,goes out of bounds,opponent goes out of bounds
33,15,01:33:33,17,16,LI Shi Feng,net shot,hits the net,opponent hits the net
34,3,01:34:28,18,16,LI Shi Feng,rush,opponent wins by landing,wins by landing
35,18,01:35:15,18,17,Kodai NARAOKA,clear,landing judgment error,opponent landing judgment error
36,4,01:36:17,19,17,LI Shi Feng,smash,opponent wins by landing,wins by landing
37,20,01:37:14,20,17,LI Shi Feng,smash,hits the net,opponent hits the net
38,26,01:38:40,20,18,Kodai NARAOKA,return net,opponent wins by landing,wins by landing
39,9,01:39:32,20,19,Kodai NARAOKA,clear,landing judgment error,opponent landing judgment error
40,3,01:40:10,21,19,LI Shi Feng,lob,goes out of bounds,opponent goes out of bounds
