rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,19,00:53:07,1,0,Lakshya SEN,smash,hits the net,opponent hits the net
3,10,00:54:01,2,1,LEE Zii Jia,rush,opponent wins by landing,wins by landing
4,3,00:54:31,3,1,Lakshya SEN,lob,goes out of bounds,opponent goes out of bounds
5,17,00:54:57,3,2,LEE Zii Jia,drop,hits the net,opponent hits the net
6,19,00:55:39,3,3,LEE Zii Jia,rush,opponent wins by landing,wins by landing
7,67,00:57:20,3,4,LEE Zii Jia,rush,opponent wins by landing,wins by landing
8,2,00:58:17,4,4,Lakshya SEN,push,landing judgment error,opponent landing judgment error
9,10,00:58:36,4,5,LEE Zii Jia,rush,opponent wins by landing,wins by landing
10,20,00:59:19,5,5,Lakshya SEN,smash,landing judgment error,opponent landing judgment error
11,19,00:59:53,5,6,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
12,4,01:00:27,5,7,LEE Zii Jia,defensive return drive,goes out of bounds,opponent goes out of bounds
13,3,01:00:42,6,7,Lakshya SEN,lob,goes out of bounds,opponent goes out of bounds
14,7,01:01:01,6,8,LEE Zii Jia,lob,goes out of bounds,opponent goes out of bounds
15,25,01:01:48,7,8,Lakshya SEN,return net,goes out of bounds,opponent goes out of bounds
16,10,01:02:16,8,8,Lakshya SEN,push,goes out of bounds,opponent goes out of bounds
17,28,01:03:09,9,8,Lakshya SEN,defensive return lob,goes out of bounds,opponent goes out of bounds
18,12,01:04:10,9,9,LEE Zii Jia,rush,opponent wins by landing,wins by landing
19,17,01:04:49,9,10,LEE Zii Jia,smash,opponent wins by landing,wins by landing
20,6,01:05:42,9,11,LEE Zii Jia,defensive return drive,hits the net,opponent hits the net
21,19,01:07:26,10,11,Lakshya SEN,net shot,hits the net,opponent hits the net
23,20,01:08:55,10,13,LEE Zii Jia,return net,hits the net,opponent hits the net
24,8,01:09:31,10,14,LEE Zii Jia,net shot,hits the net,opponent hits the net
25,7,01:09:49,11,14,Lakshya SEN,return net,hits the net,opponent hits the net
26,6,01:10:28,12,14,Lakshya SEN,push,goes out of bounds,opponent goes out of bounds
27,31,01:11:07,12,15,LEE Zii Jia,clear,goes out of bounds,opponent goes out of bounds
28,40,01:12:39,12,16,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
29,27,01:13:31,13,16,Lakshya SEN,lob,goes out of bounds,opponent goes out of bounds
30,4,01:14:18,14,16,Lakshya SEN,net shot,hits the net,opponent hits the net
31,16,01:14:45,15,16,Lakshya SEN,return net,hits the net,opponent hits the net
32,7,01:15:14,15,17,LEE Zii Jia,smash,hits the net,opponent hits the net
33,17,01:15:46,16,17,Lakshya SEN,lob,fails to clear the net,opponent fails to clear the net
34,10,01:16:28,16,18,LEE Zii Jia,drive,opponent wins by landing,wins by landing
35,8,01:17:03,17,18,Lakshya SEN,smash,opponent wins by landing,wins by landing
36,16,01:17:34,18,18,Lakshya SEN,return net,fails to clear the net,opponent fails to clear the net
37,20,01:18:12,19,18,Lakshya SEN,net shot,hits the net,opponent hits the net
38,6,01:18:55,20,18,Lakshya SEN,return net,goes out of bounds,opponent goes out of bounds
39,13,01:19:24,20,19,LEE Zii Jia,lob,goes out of bounds,opponent goes out of bounds
40,7,01:20:58,21,19,Lakshya SEN,defensive return lob,goes out of bounds,opponent goes out of bounds
