rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,10,00:07:23,1,0,LEE Zii Jia,lob,goes out of bounds,opponent goes out of bounds
2,3,00:07:39,1,1,LI Shi Feng,net shot,hits the net,opponent hits the net
3,4,00:07:55,1,2,LI Shi Feng,lob,hits the net,opponent hits the net
4,3,00:08:09,1,3,LI Shi Feng,lob,landing judgment error,opponent landing judgment error
5,10,00:08:33,2,3,LEE Zii Jia,smash,opponent wins by landing,wins by landing
7,17,00:09:28,4,3,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
8,14,00:10:11,4,4,LI Shi Feng,smash,opponent wins by landing,wins by landing
9,8,00:10:45,5,4,LEE Zii Jia,smash,opponent wins by landing,wins by landing
10,9,00:11:15,5,5,LI Shi Feng,push,hits the net,opponent hits the net
11,9,00:11:51,6,5,LEE Zii Jia,return net,goes out of bounds,opponent goes out of bounds
12,7,00:12:23,6,6,LI Shi Feng,net shot,hits the net,opponent hits the net
13,2,00:12:40,6,7,LI Shi Feng,net shot,hits the net,opponent hits the net
14,14,00:13:06,6,8,LI Shi Feng,return net,fails to clear the net,opponent fails to clear the net
15,8,00:13:39,7,8,LEE Zii Jia,smash,opponent wins by landing,wins by landing
16,4,00:14:03,8,8,LEE Zii Jia,net shot,hits the net,opponent hits the net
17,9,00:14:25,8,9,LI Shi Feng,smash,goes out of bounds,opponent goes out of bounds
18,12,00:14:53,9,9,LEE Zii Jia,smash,opponent wins by landing,wins by landing
19,15,00:15:38,10,9,LEE Zii Jia,smash,opponent wins by landing,wins by landing
20,14,00:16:21,11,9,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
21,23,00:17:54,11,10,LI Shi Feng,defensive return lob,goes out of bounds,opponent goes out of bounds
22,12,00:18:30,12,10,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
23,22,00:19:25,12,11,LI Shi Feng,smash,opponent wins by landing,wins by landing
24,24,00:20:23,12,12,LI Shi Feng,push,goes out of bounds,opponent goes out of bounds
26,8,00:21:59,12,14,LI Shi Feng,wrist smash,hits the net,opponent hits the net
27,4,00:22:26,13,14,LEE Zii Jia,smash,opponent wins by landing,wins by landing
28,9,00:22:59,13,15,LI Shi Feng,smash,goes out of bounds,opponent goes out of bounds
29,12,00:23:34,13,16,LI Shi Feng,return net,fails to clear the net,opponent fails to clear the net
30,3,00:24:17,14,16,LEE Zii Jia,drive,goes out of bounds,opponent goes out of bounds
31,9,00:24:41,14,17,LI Shi Feng,defensive return lob,goes out of bounds,opponent goes out of bounds
33,9,00:25:57,15,18,LI Shi Feng,smash,hits the net,opponent hits the net
34,19,00:26:40,16,18,LEE Zii Jia,wrist smash,goes out of bounds,opponent goes out of bounds
35,4,00:27:22,17,18,LEE Zii Jia,lob,goes out of bounds,opponent goes out of bounds
36,5,00:27:42,17,19,LI Shi Feng,lob,hits the net,opponent hits the net
37,6,00:28:07,17,20,LI Shi Feng,defensive return lob,goes out of bounds,opponent goes out of bounds
38,3,00:28:30,17,21,LI Shi Feng,lob,landing judgment error,opponent landing judgment error
