rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,8,00:06:08,1,0,NG Ka Long Angus,drop,goes out of bounds,opponent goes out of bounds
2,17,00:06:35,1,1,LEE Cheuk Yiu,clear,goes out of bounds,opponent goes out of bounds
3,18,00:07:08,1,2,LEE Cheuk Yiu,return net,fails to clear the net,opponent fails to clear the net
4,3,00:07:37,1,3,LEE Cheuk Yiu,cross-court net shot,opponent wins by landing,wins by landing
5,3,00:07:55,1,4,LEE Cheuk Yiu,lob,landing judgment error,opponent landing judgment error
6,22,00:08:30,1,5,LEE Cheuk Yiu,return net,fails to clear the net,opponent fails to clear the net
7,8,00:09:02,1,6,LEE Cheuk Yiu,net shot,hits the net,opponent hits the net
8,5,00:09:24,2,6,NG Ka Long Angus,smash,hits the net,opponent hits the net
9,24,00:10:07,3,6,NG Ka Long Angus,lob,goes out of bounds,opponent goes out of bounds
10,8,00:10:40,4,6,NG Ka Long Angus,net shot,hits the net,opponent hits the net
11,10,00:11:06,5,6,NG Ka Long Angus,net shot,hits the net,opponent hits the net
12,13,00:11:44,5,7,LEE Cheuk Yiu,return net,fails to clear the net,opponent fails to clear the net
13,21,00:12:30,5,8,LEE Cheuk Yiu,net shot,opponent wins by landing,wins by landing
14,15,00:13:03,6,8,NG Ka Long Angus,drive,fails to clear the net,opponent fails to clear the net
15,7,00:13:36,6,9,LEE Cheuk Yiu,lob,goes out of bounds,opponent goes out of bounds
16,24,00:14:17,6,10,LEE Cheuk Yiu,return net,fails to clear the net,opponent fails to clear the net
17,22,00:15:06,7,10,NG Ka Long Angus,return net,opponent wins by landing,wins by landing
18,3,00:15:36,8,10,NG Ka Long Angus,drop,opponent wins by landing,wins by landing
19,4,00:16:11,9,10,NG Ka Long Angus,net shot,hits the net,opponent hits the net
20,15,00:16:40,10,10,NG Ka Long Angus,rush,opponent wins by landing,wins by landing
21,22,00:17:18,10,11,LEE Cheuk Yiu,smash,opponent wins by landing,wins by landing
22,9,00:18:51,10,12,LEE Cheuk Yiu,rush,opponent wins by landing,wins by landing
23,6,00:19:15,10,13,LEE Cheuk Yiu,return net,hits the net,opponent hits the net
24,6,00:19:51,10,14,LEE Cheuk Yiu,cross-court net shot,hits the net,opponent hits the net
25,30,00:20:39,11,14,NG Ka Long Angus,clear,landing judgment error,opponent landing judgment error
26,26,00:22:12,12,14,NG Ka Long Angus,smash,goes out of bounds,opponent goes out of bounds
27,11,00:23:02,13,14,NG Ka Long Angus,wrist smash,opponent wins by landing,wins by landing
28,11,00:24:01,13,15,LEE Cheuk Yiu,drop,hits the net,opponent hits the net
29,14,00:24:33,14,15,NG Ka Long Angus,smash,landing judgment error,opponent landing judgment error
30,19,00:25:10,14,16,LEE Cheuk Yiu,drop,hits the net,opponent hits the net
31,8,00:25:39,14,17,LEE Cheuk Yiu,smash,goes out of bounds,opponent goes out of bounds
32,2,00:26:36,15,17,NG Ka Long Angus,smash,opponent wins by landing,wins by landing
33,13,00:27:07,16,17,NG Ka Long Angus,smash,opponent wins by landing,wins by landing
35,22,00:28:48,18,17,NG Ka Long Angus,push,goes out of bounds,opponent goes out of bounds
36,12,00:29:26,19,17,NG Ka Long Angus,lob,goes out of bounds,opponent goes out of bounds
37,4,00:30:08,20,17,NG Ka Long Angus,return net,fails to clear the net,opponent fails to clear the net
38,6,00:30:26,21,17,NG Ka Long Angus,drive,hits the net,opponent hits the net
