rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,9,00:08:11,1,0,PUSARLA V. Sindhu,push,opponent wins by landing,wins by landing
2,5,00:08:27,1,1,Pornpawee CHOCHUWONG,drop,fails to clear the net,opponent fails to clear the net
3,5,00:08:44,2,1,PUSARLA V. Sindhu,return net,fails to clear the net,opponent fails to clear the net
4,20,00:09:16,2,2,Pornpawee CHOCHUWONG,clear,opponent wins by landing,wins by landing
5,5,00:09:55,2,3,Pornpawee CHOCHUWONG,return net,opponent wins by landing,wins by landing
6,20,00:10:33,3,3,PUSARLA V. Sindhu,rush,opponent wins by landing,wins by landing
7,4,00:11:09,3,4,Pornpawee CHOCHUWONG,smash,opponent wins by landing,wins by landing
8,3,00:11:29,4,4,PUSARLA V. Sindhu,wrist smash,hits the net,opponent hits the net
9,5,00:11:50,5,4,PUSARLA V. Sindhu,smash,opponent wins by landing,wins by landing
10,11,00:12:15,6,4,PUSARLA V. Sindhu,smash,opponent wins by landing,wins by landing
11,16,00:12:49,7,4,PUSARLA V. Sindhu,unknown,hits the net,opponent hits the net
12,3,00:13:17,7,5,Pornpawee CHOCHUWONG,lob,hits the net,opponent hits the net
13,2,00:13:50,8,5,PUSARLA V. Sindhu,drop,opponent wins by landing,wins by landing
14,6,00:14:36,9,5,PUSARLA V. Sindhu,clear,goes out of bounds,opponent goes out of bounds
15,3,00:14:54,9,6,Pornpawee CHOCHUWONG,net shot,fails to clear the net,opponent fails to clear the net
17,5,00:15:32,9,8,Pornpawee CHOCHUWONG,push,opponent wins by landing,wins by landing
18,2,00:15:52,10,8,PUSARLA V. Sindhu,drop,opponent wins by landing,wins by landing
19,17,00:16:22,10,9,Pornpawee CHOCHUWONG,return net,fails to clear the net,opponent fails to clear the net
20,7,00:16:53,11,9,PUSARLA V. Sindhu,drop,hits the net,opponent hits the net
21,6,00:18:13,12,9,PUSARLA V. Sindhu,return net,fails to clear the net,opponent fails to clear the net
22,15,00:18:39,13,9,PUSARLA V. Sindhu,clear,opponent wins by landing,wins by landing
23,3,00:19:11,13,10,Pornpawee CHOCHUWONG,return net,fails to clear the net,opponent fails to clear the net
24,9,00:19:41,13,11,Pornpawee CHOCHUWONG,rush,opponent wins by landing,wins by landing
25,2,00:20:24,13,12,Pornpawee CHOCHUWONG,smash,goes out of bounds,opponent goes out of bounds
26,13,00:20:49,14,12,PUSARLA V. Sindhu,return net,fails to clear the net,opponent fails to clear the net
27,23,00:21:35,14,13,Pornpawee CHOCHUWONG,net shot,fails to clear the net,opponent fails to clear the net
28,2,00:22:25,14,14,Pornpawee CHOCHUWONG,smash,goes out of bounds,opponent goes out of bounds
29,12,00:22:53,14,15,Pornpawee CHOCHUWONG,net shot,fails to clear the net,opponent fails to clear the net
30,7,00:23:21,15,15,PUSARLA V. Sindhu,drop,hits the net,opponent hits the net
31,4,00:23:46,15,16,Pornpawee CHOCHUWONG,drop,opponent wins by landing,wins by landing
32,8,00:24:15,16,16,PUSARLA V. Sindhu,smash,opponent wins by landing,wins by landing
33,6,00:24:49,17,16,PUSARLA V. Sindhu,smash,hits the net,opponent hits the net
34,6,00:25:14,18,16,PUSARLA V. Sindhu,clear,goes out of bounds,opponent goes out of bounds
35,5,00:25:36,18,17,Pornpawee CHOCHUWONG,clear,goes out of bounds,opponent goes out of bounds
36,12,00:26:09,19,17,PUSARLA V. Sindhu,drop,opponent wins by landing,wins by landing
37,5,00:26:58,19,18,Pornpawee CHOCHUWONG,return net,fails to clear the net,opponent fails to clear the net
38,26,00:27:51,20,18,PUSARLA V. Sindhu,push,opponent wins by landing,wins by landing
39,19,00:28:58,21,18,PUSARLA V. Sindhu,drop,opponent wins by landing,wins by landing
