rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,3,00:32:04,1,0,Rasmus GEMKE,wrist smash,opponent wins by landing,wins by landing
2,4,00:32:32,2,0,Rasmus GEMKE,smash,goes out of bounds,opponent goes out of bounds
3,4,00:32:51,2,1,LEE Cheuk Yiu,net shot,opponent wins by landing,wins by landing
4,4,00:33:17,2,2,LEE Cheuk Yiu,net shot,hits the net,opponent hits the net
5,4,00:33:34,2,3,LEE Cheuk Yiu,wrist smash,goes out of bounds,opponent goes out of bounds
6,5,00:33:51,3,3,Rasmus GEMKE,return net,goes out of bounds,opponent goes out of bounds
7,2,00:34:13,4,3,Rasmus GEMKE,push,goes out of bounds,opponent goes out of bounds
8,22,00:34:51,4,4,LEE Cheuk Yiu,rush,opponent wins by landing,wins by landing
9,2,00:35:18,4,5,LEE Cheuk Yiu,net shot,hits the net,opponent hits the net
10,29,00:36:00,5,5,Rasmus GEMKE,push,goes out of bounds,opponent goes out of bounds
11,10,00:36:52,5,6,LEE Cheuk Yiu,rush,opponent wins by landing,wins by landing
12,3,00:37:24,6,6,Rasmus GEMKE,smash,goes out of bounds,opponent goes out of bounds
13,13,00:38:00,6,7,LEE Cheuk Yiu,lob,hits the net,opponent hits the net
14,21,00:38:44,7,7,Rasmus GEMKE,clear,goes out of bounds,opponent goes out of bounds
15,3,00:39:13,7,8,LEE Cheuk Yiu,net shot,hits the net,opponent hits the net
16,6,00:39:35,7,9,LEE Cheuk Yiu,net shot,goes out of bounds,opponent goes out of bounds
17,27,00:40:19,8,9,Rasmus GEMKE,drive,hits the net,opponent hits the net
18,6,00:41:00,9,9,Rasmus GEMKE,return net,fails to clear the net,opponent fails to clear the net
19,9,00:41:41,10,9,Rasmus GEMKE,smash,opponent wins by landing,wins by landing
20,13,00:42:14,11,9,Rasmus GEMKE,wrist smash,opponent wins by landing,wins by landing
21,35,00:44:12,11,10,LEE Cheuk Yiu,lob,goes out of bounds,opponent goes out of bounds
22,35,00:45:38,12,10,Rasmus GEMKE,clear,goes out of bounds,opponent goes out of bounds
23,14,00:46:23,13,10,Rasmus GEMKE,return net,fails to clear the net,opponent fails to clear the net
24,4,00:47:10,13,11,LEE Cheuk Yiu,rush,opponent wins by landing,wins by landing
25,12,00:47:44,14,11,Rasmus GEMKE,smash,opponent wins by landing,wins by landing
26,11,00:48:30,15,11,Rasmus GEMKE,smash,opponent wins by landing,wins by landing
27,3,00:49:00,16,11,Rasmus GEMKE,rush,opponent wins by landing,wins by landing
28,11,00:49:38,16,12,LEE Cheuk Yiu,smash,hits the net,opponent hits the net
29,11,00:50:26,16,13,LEE Cheuk Yiu,back-court drive,opponent wins by landing,wins by landing
30,12,00:50:56,16,14,LEE Cheuk Yiu,lob,goes out of bounds,opponent goes out of bounds
31,3,00:51:18,17,14,Rasmus GEMKE,unknown,hits the net,opponent hits the net
32,9,00:51:45,18,14,Rasmus GEMKE,wrist smash,opponent wins by landing,wins by landing
33,1,00:52:52,19,14,Rasmus GEMKE,long service,opponent wins by landing,wins by landing
34,6,00:53:18,20,14,Rasmus GEMKE,lob,goes out of bounds,opponent goes out of bounds
35,4,00:53:40,21,14,Rasmus GEMKE,drop,goes out of bounds,opponent goes out of bounds
