rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,9,00:28:43,1,0,Ratchanok INTANON,smash,opponent wins by landing,wins by landing
2,17,00:29:27,1,1,CHEN Yufei,unknown,fails to clear the net,opponent fails to clear the net
3,5,00:29:48,1,2,CHEN Yufei,rush,opponent wins by landing,wins by landing
4,2,00:30:05,1,3,CHEN Yufei,lob,goes out of bounds,opponent goes out of bounds
5,8,00:30:34,1,4,CHEN Yufei,push,goes out of bounds,opponent goes out of bounds
6,8,00:30:55,1,5,CHEN Yufei,return net,goes out of bounds,opponent goes out of bounds
7,6,00:31:16,2,5,Ratchanok INTANON,clear,landing judgment error,opponent landing judgment error
8,19,00:31:50,2,6,CHEN Yufei,clear,goes out of bounds,opponent goes out of bounds
9,4,00:32:40,2,7,CHEN Yufei,return net,fails to clear the net,opponent fails to clear the net
10,3,00:32:55,3,7,Ratchanok INTANON,unknown,hits the net,opponent hits the net
11,9,00:33:22,3,8,CHEN Yufei,wrist smash,goes out of bounds,opponent goes out of bounds
12,6,00:33:40,4,8,Ratchanok INTANON,net shot,opponent wins by landing,wins by landing
13,1,00:34:01,4,9,CHEN Yufei,long service,goes out of bounds,opponent goes out of bounds
14,7,00:34:18,4,10,CHEN Yufei,smash,opponent wins by landing,wins by landing
15,4,00:34:36,4,11,CHEN Yufei,net shot,fails to clear the net,opponent fails to clear the net
16,9,00:35:54,4,12,CHEN Yufei,smash,opponent wins by landing,wins by landing
17,3,00:36:09,5,12,Ratchanok INTANON,push,goes out of bounds,opponent goes out of bounds
18,3,00:36:27,5,13,CHEN Yufei,lob,goes out of bounds,opponent goes out of bounds
19,5,00:36:42,6,13,Ratchanok INTANON,rush,hits the net,opponent hits the net
20,12,00:37:07,7,13,Ratchanok INTANON,smash,goes out of bounds,opponent goes out of bounds
21,4,00:37:48,7,14,CHEN Yufei,rush,opponent wins by landing,wins by landing
22,8,00:38:10,8,14,Ratchanok INTANON,push,landing judgment error,opponent landing judgment error
23,8,00:38:49,9,14,Ratchanok INTANON,return net,fails to clear the net,opponent fails to clear the net
24,19,00:39:27,9,15,CHEN Yufei,rush,hits the net,opponent hits the net
25,5,00:40:04,10,15,Ratchanok INTANON,return net,goes out of bounds,opponent goes out of bounds
26,6,00:40:29,10,16,CHEN Yufei,rush,opponent wins by landing,wins by landing
27,16,00:40:56,11,16,Ratchanok INTANON,clear,opponent wins by landing,wins by landing
28,19,00:41:43,11,17,CHEN Yufei,wrist smash,goes out of bounds,opponent goes out of bounds
29,5,00:42:30,11,18,CHEN Yufei,smash,opponent wins by landing,wins by landing
30,4,00:42:48,11,19,CHEN Yufei,defensive return drive,goes out of bounds,opponent goes out of bounds
31,5,00:43:06,12,19,Ratchanok INTANON,unknown,fails to clear the net,opponent fails to clear the net
32,9,00:43:31,12,20,CHEN Yufei,return net,fails to clear the net,opponent fails to clear the net
33,6,00:43:51,13,20,Ratchanok INTANON,wrist smash,opponent wins by landing,wins by landing
34,2,00:44:08,13,21,CHEN Yufei,push,opponent wins by landing,wins by landing
