rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,3,00:30:23,0,1,LEE Zii Jia,defensive return drive,goes out of bounds,opponent goes out of bounds
2,8,00:30:39,0,2,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
3,16,00:31:15,0,3,LEE Zii Jia,smash,goes out of bounds,opponent goes out of bounds
4,10,00:31:44,0,4,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
5,5,00:32:04,0,5,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
6,9,00:32:29,1,5,SHI Yuqi,net shot,fails to clear the net,opponent fails to clear the net
7,10,00:32:54,1,6,LEE Zii Jia,wrist smash,opponent wins by landing,wins by landing
8,6,00:33:24,1,7,LEE Zii Jia,return net,goes out of bounds,opponent goes out of bounds
9,12,00:33:45,1,8,LEE Zii Jia,drive,goes out of bounds,opponent goes out of bounds
10,13,00:34:11,2,8,SHI Yuqi,smash,hits the net,opponent hits the net
11,22,00:35:01,3,8,SHI Yuqi,lob,goes out of bounds,opponent goes out of bounds
12,3,00:35:33,3,9,LEE Zii Jia,lob,goes out of bounds,opponent goes out of bounds
13,7,00:35:53,4,9,SHI Yuqi,push,goes out of bounds,opponent goes out of bounds
14,21,00:36:30,4,10,LEE Zii Jia,smash,goes out of bounds,opponent goes out of bounds
15,13,00:37:29,5,10,SHI Yuqi,lob,goes out of bounds,opponent goes out of bounds
16,6,00:37:53,6,10,SHI Yuqi,push,goes out of bounds,opponent goes out of bounds
17,12,00:38:16,7,10,SHI Yuqi,return net,fails to clear the net,opponent fails to clear the net
18,11,00:39:03,7,11,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
19,6,00:40:28,7,12,LEE Zii Jia,return net,fails to clear the net,opponent fails to clear the net
20,2,00:40:41,8,12,SHI Yuqi,push,landing judgment error,opponent landing judgment error
21,3,00:40:59,9,12,SHI Yuqi,clear,landing judgment error,opponent landing judgment error
23,6,00:42:00,11,12,SHI Yuqi,smash,hits the net,opponent hits the net
24,2,00:42:24,11,13,LEE Zii Jia,drive,opponent wins by landing,wins by landing
25,7,00:42:44,12,13,SHI Yuqi,wrist smash,hits the net,opponent hits the net
26,26,00:43:33,12,14,LEE Zii Jia,return net,landing judgment error,opponent landing judgment error
27,4,00:44:30,12,15,LEE Zii Jia,smash,hits the net,opponent hits the net
28,11,00:44:51,12,16,LEE Zii Jia,clear,landing judgment error,opponent landing judgment error
29,9,00:45:36,12,17,LEE Zii Jia,smash,opponent wins by landing,wins by landing
30,3,00:46:03,13,17,SHI Yuqi,clear,goes out of bounds,opponent goes out of bounds
31,4,00:46:52,14,17,SHI Yuqi,lob,goes out of bounds,opponent goes out of bounds
32,2,00:47:06,14,18,LEE Zii Jia,cross-court net shot,opponent wins by landing,wins by landing
33,9,00:47:26,14,19,LEE Zii Jia,smash,opponent wins by landing,wins by landing
35,6,00:48:01,15,20,LEE Zii Jia,rush,opponent wins by landing,wins by landing
36,17,00:48:41,16,20,SHI Yuqi,net shot,fails to clear the net,opponent fails to clear the net
37,19,00:49:50,16,21,LEE Zii Jia,return net,goes out of bounds,opponent goes out of bounds
