rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,17,00:09:03,1,0,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
2,4,00:09:21,2,0,Viktor AXELSEN,return net,hits the net,opponent hits the net
3,38,00:10:21,3,0,Viktor AXELSEN,drop,hits the net,opponent hits the net
4,11,00:11:21,3,1,Kento MOMOTA,lob,goes out of bounds,opponent goes out of bounds
5,15,00:11:59,4,1,Viktor AXELSEN,push,hits the net,opponent hits the net
6,4,00:12:19,5,1,Viktor AXELSEN,return net,hits the net,opponent hits the net
7,10,00:12:47,6,1,Viktor AXELSEN,net shot,goes out of bounds,opponent goes out of bounds
8,11,00:13:17,7,1,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
9,8,00:13:44,8,1,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
10,20,00:14:19,9,1,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
11,23,00:15:09,9,2,Kento MOMOTA,clear,goes out of bounds,opponent goes out of bounds
12,4,00:15:41,10,2,Viktor AXELSEN,lob,landing judgment error,opponent landing judgment error
13,4,00:16:02,11,2,Viktor AXELSEN,return net,hits the net,opponent hits the net
14,9,00:17:16,11,3,Kento MOMOTA,lob,goes out of bounds,opponent goes out of bounds
16,5,00:17:58,13,3,Viktor AXELSEN,net shot,opponent wins by landing,wins by landing
17,4,00:18:24,14,3,Viktor AXELSEN,return net,fails to clear the net,opponent fails to clear the net
18,8,00:18:46,15,3,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
19,7,00:19:08,15,4,Kento MOMOTA,net shot,goes out of bounds,opponent goes out of bounds
20,2,00:19:48,16,4,Viktor AXELSEN,lob,opponent wins by landing,wins by landing
21,12,00:20:28,17,4,Viktor AXELSEN,net shot,fails to clear the net,opponent fails to clear the net
22,4,00:20:45,18,4,Viktor AXELSEN,return net,fails to clear the net,opponent fails to clear the net
23,2,00:21:16,19,4,Viktor AXELSEN,smash,hits the net,opponent hits the net
24,3,00:21:33,20,4,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
25,31,00:22:19,21,4,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
