rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,14,00:31:53,1,0,Viktor AXELSEN,net shot,goes out of bounds,opponent goes out of bounds
2,22,00:32:27,2,0,Viktor AXELSEN,net shot,hits the net,opponent hits the net
3,18,00:33:03,2,1,Kodai NARAOKA,wrist smash,opponent wins by landing,wins by landing
4,65,00:34:58,3,1,Viktor AXELSEN,net shot,fails to clear the net,opponent fails to clear the net
5,4,00:36:07,4,1,Viktor AXELSEN,net shot,hits the net,opponent hits the net
6,18,00:36:48,5,1,Viktor AXELSEN,return net,hits the net,opponent hits the net
7,24,00:37:46,5,2,Kodai NARAOKA,return net,opponent wins by landing,wins by landing
8,13,00:38:26,6,2,Viktor AXELSEN,clear,goes out of bounds,opponent goes out of bounds
9,3,00:38:55,6,3,Kodai NARAOKA,smash,goes out of bounds,opponent goes out of bounds
10,28,00:39:36,7,3,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
11,3,00:40:23,8,3,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
12,4,00:40:45,8,4,Kodai NARAOKA,lob,landing judgment error,opponent landing judgment error
13,3,00:41:13,9,4,Viktor AXELSEN,smash,goes out of bounds,opponent goes out of bounds
14,19,00:41:44,10,4,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
15,13,00:42:40,11,4,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
16,9,00:44:01,11,5,Kodai NARAOKA,return net,fails to clear the net,opponent fails to clear the net
17,20,00:44:45,12,5,Viktor AXELSEN,return net,opponent wins by landing,wins by landing
18,26,00:45:54,13,5,Viktor AXELSEN,return net,hits the net,opponent hits the net
19,16,00:46:29,14,5,Viktor AXELSEN,smash,goes out of bounds,opponent goes out of bounds
20,14,00:47:15,15,5,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
21,6,00:47:43,16,5,Viktor AXELSEN,return net,hits the net,opponent hits the net
22,10,00:48:11,16,6,Kodai NARAOKA,rush,opponent wins by landing,wins by landing
23,24,00:48:58,16,7,Kodai NARAOKA,smash,goes out of bounds,opponent goes out of bounds
24,2,00:49:41,17,7,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
25,3,00:50:01,18,7,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
26,33,00:50:55,19,7,Viktor AXELSEN,push,opponent wins by landing,wins by landing
27,17,00:51:34,20,7,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
28,9,00:52:22,20,8,Kodai NARAOKA,drop,goes out of bounds,opponent goes out of bounds
29,8,00:52:48,21,8,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
