rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,9,00:27:24,1,0,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
2,28,00:28:05,2,0,Viktor AXELSEN,net shot,hits the net,opponent hits the net
3,26,00:28:48,3,0,Viktor AXELSEN,return net,goes out of bounds,opponent goes out of bounds
4,11,00:29:23,4,0,Viktor AXELSEN,lob,landing judgment error,opponent landing judgment error
5,4,00:29:52,5,0,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
6,28,00:30:35,6,0,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
7,5,00:31:01,6,1,ZHAO Jun Peng,lob,goes out of bounds,opponent goes out of bounds
8,9,00:31:51,7,1,Viktor AXELSEN,return net,hits the net,opponent hits the net
9,12,00:32:37,7,2,ZHAO Jun Peng,wrist smash,opponent wins by landing,wins by landing
10,19,00:33:12,8,2,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
11,3,00:33:32,9,2,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
12,3,00:34:02,9,3,ZHAO Jun Peng,lob,goes out of bounds,opponent goes out of bounds
13,41,00:34:59,10,3,Viktor AXELSEN,drop,hits the net,opponent hits the net
14,14,00:35:48,10,4,ZHAO Jun Peng,wrist smash,opponent wins by landing,wins by landing
15,5,00:36:21,10,5,ZHAO Jun Peng,push,goes out of bounds,opponent goes out of bounds
16,25,00:37:22,11,5,Viktor AXELSEN,return net,hits the net,opponent hits the net
17,7,00:38:38,12,5,Viktor AXELSEN,rush,opponent wins by landing,wins by landing
18,6,00:38:59,13,5,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
19,7,00:39:21,13,6,ZHAO Jun Peng,wrist smash,goes out of bounds,opponent goes out of bounds
20,31,00:40:14,14,6,Viktor AXELSEN,smash,hits the net,opponent hits the net
21,5,00:41:14,15,6,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
22,14,00:41:44,16,6,Viktor AXELSEN,return net,hits the net,opponent hits the net
23,11,00:42:09,17,6,Viktor AXELSEN,rush,opponent wins by landing,wins by landing
24,5,00:42:33,18,6,Viktor AXELSEN,net shot,opponent wins by landing,wins by landing
25,2,00:42:56,19,6,Viktor AXELSEN,clear,goes out of bounds,opponent goes out of bounds
26,12,00:43:19,20,6,Viktor AXELSEN,net shot,hits the net,opponent hits the net
27,7,00:43:42,20,7,ZHAO Jun Peng,return net,goes out of bounds,opponent goes out of bounds
28,11,00:44:37,20,8,ZHAO Jun Peng,rush,opponent wins by landing,wins by landing
29,14,00:45:05,20,9,ZHAO Jun Peng,lob,goes out of bounds,opponent goes out of bounds
30,13,00:45:34,20,10,ZHAO Jun Peng,defensive return drive,opponent wins by landing,wins by landing
31,2,00:45:56,21,10,Viktor AXELSEN,rush,opponent wins by landing,wins by landing
