rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,39,00:10:15,1,0,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
2,16,00:10:55,2,0,Viktor AXELSEN,return net,hits the net,opponent hits the net
3,12,00:11:52,3,0,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
4,2,00:12:15,4,0,Viktor AXELSEN,lob,goes out of bounds,opponent goes out of bounds
5,23,00:13:00,4,1,Kunlavut VITIDSARN,lob,goes out of bounds,opponent goes out of bounds
6,12,00:13:37,5,1,Viktor AXELSEN,rush,opponent wins by landing,wins by landing
7,13,00:14:07,6,1,Viktor AXELSEN,lob,landing judgment error,opponent landing judgment error
8,10,00:14:43,7,1,Viktor AXELSEN,drop,goes out of bounds,opponent goes out of bounds
9,21,00:15:43,7,2,Kunlavut VITIDSARN,return net,fails to clear the net,opponent fails to clear the net
10,58,00:16:56,7,3,Kunlavut VITIDSARN,net shot,hits the net,opponent hits the net
11,24,00:18:07,7,4,Kunlavut VITIDSARN,return net,fails to clear the net,opponent fails to clear the net
12,31,00:19:03,8,4,Viktor AXELSEN,return net,hits the net,opponent hits the net
13,8,00:20:12,9,4,Viktor AXELSEN,return net,hits the net,opponent hits the net
14,18,00:20:58,10,4,Viktor AXELSEN,return net,fails to clear the net,opponent fails to clear the net
15,10,00:21:45,11,4,Viktor AXELSEN,return net,fails to clear the net,opponent fails to clear the net
16,4,00:23:03,12,4,Viktor AXELSEN,return net,goes out of bounds,opponent goes out of bounds
17,6,00:23:32,13,4,Viktor AXELSEN,clear,goes out of bounds,opponent goes out of bounds
18,18,00:24:06,14,4,Viktor AXELSEN,clear,goes out of bounds,opponent goes out of bounds
19,23,00:24:49,15,4,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
20,7,00:25:20,16,4,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
21,14,00:25:53,16,5,Kunlavut VITIDSARN,smash,opponent wins by landing,wins by landing
22,22,00:26:42,17,5,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
23,1,00:27:03,18,5,Viktor AXELSEN,long service,landing judgment error,opponent landing judgment error
24,9,00:27:29,19,5,Viktor AXELSEN,smash,opponent wins by landing,wins by landing
25,4,00:28:16,20,5,Viktor AXELSEN,drop,goes out of bounds,opponent goes out of bounds
26,5,00:28:37,21,5,Viktor AXELSEN,wrist smash,opponent wins by landing,wins by landing
