rally,ball_round,time,winner_score,loser_score,getpoint_player,ball_type,lose_reason,win_reason
1,6,00:27:26,1,0,ZHAO Jun Peng,return net,hits the net,opponent hits the net
2,12,00:27:51,2,0,ZHAO Jun Peng,defensive return drive,goes out of bounds,opponent goes out of bounds
4,15,00:29:15,2,2,PRANNOY H. S.,rush,opponent wins by landing,wins by landing
5,11,00:29:48,2,3,PRANNOY H. S.,push,opponent wins by landing,wins by landing
6,20,00:30:24,2,4,PRANNOY H. S.,rush,goes out of bounds,opponent goes out of bounds
7,7,00:31:21,3,4,ZHAO Jun Peng,net shot,hits the net,opponent hits the net
8,10,00:31:44,4,4,ZHAO Jun Peng,rush,hits the net,opponent hits the net
9,14,00:32:14,4,5,PRANNOY H. S.,lob,opponent wins by landing,wins by landing
10,9,00:32:43,4,6,PRANNOY H. S.,rush,opponent wins by landing,wins by landing
11,15,00:33:18,5,6,ZHAO Jun Peng,return net,hits the net,opponent hits the net
12,11,00:34:00,6,6,ZHAO Jun Peng,smash,opponent wins by landing,wins by landing
13,7,00:34:26,7,6,ZHAO Jun Peng,smash,opponent wins by landing,wins by landing
14,7,00:34:57,7,7,PRANNOY H. S.,lob,hits the net,opponent hits the net
15,11,00:35:25,8,7,ZHAO Jun Peng,lob,goes out of bounds,opponent goes out of bounds
16,17,00:36:32,9,7,ZHAO Jun Peng,drive,opponent wins by landing,wins by landing
17,10,00:37:00,10,7,ZHAO Jun Peng,return net,fails to clear the net,opponent fails to clear the net
18,8,00:37:34,11,7,ZHAO Jun Peng,drive,fails to clear the net,opponent fails to clear the net
19,5,00:38:52,12,7,ZHAO Jun Peng,smash,opponent wins by landing,wins by landing
20,5,00:39:24,12,8,PRANNOY H. S.,lob,goes out of bounds,opponent goes out of bounds
21,4,00:39:40,13,8,ZHAO Jun Peng,smash,opponent wins by landing,wins by landing
22,13,00:40:08,13,9,PRANNOY H. S.,net shot,goes out of bounds,opponent goes out of bounds
23,9,00:40:32,14,9,ZHAO Jun Peng,net shot,hits the net,opponent hits the net
24,6,00:40:57,15,9,ZHAO Jun Peng,push,hits the net,opponent hits the net
25,24,00:41:39,16,9,ZHAO Jun Peng,return net,hits the net,opponent hits the net
26,14,00:42:17,17,9,ZHAO Jun Peng,drive,goes out of bounds,opponent goes out of bounds
27,4,00:43:11,18,9,ZHAO Jun Peng,drop,hits the net,opponent hits the net
28,9,00:43:31,18,10,PRANNOY H. S.,drive,hits the net,opponent hits the net
30,12,00:44:16,19,11,PRANNOY H. S.,drive,opponent wins by landing,wins by landing
31,2,00:44:48,19,12,PRANNOY H. S.,lob,goes out of bounds,opponent goes out of bounds
32,9,00:45:07,20,12,ZHAO Jun Peng,wrist smash,goes out of bounds,opponent goes out of bounds
33,10,00:45:33,20,13,PRANNOY H. S.,smash,opponent wins by landing,wins by landing
34,6,00:46:04,20,14,PRANNOY H. S.,return net,fails to clear the net,opponent fails to clear the net
35,7,00:46:22,20,15,PRANNOY H. S.,wrist smash,opponent wins by landing,wins by landing
36,2,00:46:40,21,15,ZHAO Jun Peng,wrist smash,opponent wins by landing,wins by landing
