p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Borowski,,,,,,,,,,Joe Borowski,,,,,,,,,Joe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
2,Byrd,6,0,0,P,0,23,0,0,0,Paul Byrd,1,,.000,0,.000,4,59,0,Paul,0,0,,3,0,5,2/3,0,,0,,,0,,true,0,4.85,0,17,0,4,77,0,0,0,0,0,Indians,0,,0,
,Dellucci,,,,,,,,,,David Dellucci,,,,,,,,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Westbrook,,,,,,,,,,Jake Westbrook,,,,,,,,,Jake,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Blake,,0,,3B,0,,0,0,3,Casey Blake,,2,1.000,,.239,,,3,Casey,,,,,0,,,1,,,700,,0,,,3,,0,,0,,,0,0,1,0,0,Indians,0,,0,
,Michaels,,0,,LF,1,,0,0,4,Jason Michaels,,2,1.000,,.163,,,0,Jason,,,,,4,,,0,,,800,,0,,,0,,0,,1,,,0,0,0,0,0,Indians,0,,0,
,Hafner,,0,,DH,0,,0,0,3,Travis Hafner,,1,.000,,.230,,,2,Travis,,,,,0,,,1,,,300,,0,,,0,,0,,1,,,0,1,1,0,0,Indians,0,,0,
,Martinez,,0,,1B,0,,0,0,3,Victor Martinez,,3,1.000,,.365,,,3,Victor,,,,,11,,,1,,,400,,0,,,0,,0,,1,,,0,1,0,0,0,Indians,0,,0,
,Lee,,,,,,,,,,Cliff Lee,,,,,,,,,Cliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Carroll,,0,,2B,1,,0,0,5,Jamey Carroll,,2,1.000,,.250,,,2,Jamey,,,,,2,,,0,,,200,,0,,,2,,0,,2,,,0,1,0,0,1,Indians,2,,0,
,Peralta,,0,,SS,0,,0,0,4,Jhonny Peralta,,2,1.000,,.256,,,0,Jhonny,,,,,2,,,0,,,500,,0,,,3,,0,,2,,,1,1,0,0,4,Indians,0,,0,
,Choo,,,,,,,,,,Shin-Soo Choo,,,,,,,,,Shin-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Gutierrez,,0,,RF,0,,0,0,3,Franklin Gutierrez,,1,1.000,,.229,,,0,Franklin,,,,,3,,,1,,,600,,0,,,0,,0,,1,,,1,1,1,0,1,Indians,0,,0,
,Sizemore,,0,,CF,2,,0,0,4,Grady Sizemore,,2,1.000,,.264,,,1,Grady,,,,,3,,,1,,,100,,0,,,0,,0,,0,,,0,1,0,0,0,Indians,1,,0,
0,Betancourt,0,0,0,P,0,3,0,0,0,Rafael Betancourt,1,,.000,0,.000,0,8,0,Rafael,2,1,true,0,0,1,,0,,2,,,0,,,0,3.27,0,3,0,0,9,0,0,0,0,0,Indians,0,,0,
,Shoppach,,0,,C,0,,0,0,3,Kelly Shoppach,,1,1.000,,.281,,,2,Kelly,,,,,2,,,1,,,900,,0,,,0,,0,,1,,,0,0,1,0,0,Indians,0,,0,
,Hernandez,,,,,,,,,,Roberto Hernandez,,,,,,,,,Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Garko,,,,,,,,,,Ryan Garko,,,,,,,,,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Francisco,,,,,,,,,,Ben Francisco,,,,,,,,,Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Cabrera,,,,,,,,,,Asdrubal Cabrera,,,,,,,,,Asdrubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Mastny,,,,,,,,,,Tom Mastny,,,,,,,,,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Lewis,,,,,,,,,,Jensen Lewis,,,,,,,,,Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
1,Perez,0,0,1,P,0,7,0,0,0,Rafael Perez,0,,1.000,2,.000,0,17,0,Rafael,0,1,,0,0,2,1/3,0,,2,,,0,,,1,5.25,0,7,0,0,23,0,0,0,0,0,Indians,0,,0,
,Kobayashi,,,,,,,,,,Masa Kobayashi,,,,,,,,,Masa,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,
,Abreu,,0,,RF,1,,0,0,4,Bobby Abreu,,1,1.000,,.297,,,1,Bobby,,,,,1,,,0,,,300,,0,,,0,,0,,1,,,0,0,1,0,0,Yankees,0,,0,
,Damon,,0,,LF,2,,0,0,4,Johnny Damon,,1,.000,,.244,,,0,Johnny,,,,,0,,,0,,,100,,0,,,0,,1,,1,,,0,0,0,0,0,Yankees,0,,0,
,Giambi,,0,,1B,1,,0,0,3,Jason Giambi,,,.923,,.186,,,0,Jason,,,,,12,,,0,,,700,,1,,,0,,0,,2,,,2,2,0,0,3,Yankees,0,,0,
,Jeter,,0,,SS,2,,0,0,4,Derek Jeter,,2,1.000,,.260,,,1,Derek,,,,,0,,,0,,,200,,0,,,2,,0,,0,,,0,0,0,0,0,Yankees,0,,0,
,Mussina,,,,,,,,,,Mike Mussina,,,,,,,,,Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankees,,,,
2,Pettitte,8,0,3,P,0,25,0,0,0,Andy Pettitte,3,,1.000,0,.000,5,56,0,Andy,0,3,,2,0,5,,0,,0,,true,0,,,1,3.23,0,15,0,4,99,0,0,0,0,0,Yankees,0,,0,
,Posada,,0,,C,2,,0,0,4,Jorge Posada,,1,1.000,,.300,,,0,Jorge,,,,,4,,,0,,,600,,0,,,0,,0,,1,,,0,1,0,0,0,Yankees,0,,0,
,Rivera,,,,,,,,,,Mariano Rivera,,,,,,,,,Mariano,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankees,,,,
,Rodriguez,,0,,3B,3,,0,0,4,Alex Rodriguez,,1,1.000,,.293,,,1,Alex,,,,,1,,,0,,,400,,0,,,7,,0,,0,,,0,0,0,0,0,Yankees,0,,0,
